Redshift	Hubble0	OmegaM	OmegaB	SpectralIndex	Sigma8
0	67.74	0.3089	0.0486	0.9667	0.8159
Wavenumber(k)	Pk
0.00015504876238197292	660.1948501577649
0.0001555494873230349	662.2533874797589
0.00015605182933902702	664.3183278047071
0.0001565557936522403	666.3896909143099
0.00015706138550183085	668.4674966507068
0.00015756861014387457	670.5517649166304
0.0001580774728514216	672.6425156756039
0.0001585879789145513	674.7397689521256
0.00015910013364042714	676.843544831842
0.00015961394235335186	678.9538634617326
0.00016012941039482298	681.0707450503124
0.00016064654312358806	683.194209867788
0.00016116534591570066	685.3242782462723
0.00016168582416457608	687.4609705799363
0.00016220798328104753	689.6043073252288
0.0001627318286934223	691.7543090010516
0.00016325736584753826	693.9109961889335
0.00016378460020682035	696.0743895332338
0.00016431353725233756	698.2445097413308
0.00016484418248285972	700.4213775838008
0.00016537654141491486	702.6050138946231
0.00016591061958284642	704.7954395713531
0.00016644642253887075	706.9926755753165
0.000166983955853135	709.1967429318154
0.00016752322511377489	711.4076627280068
0.00016806423592697283	713.6254560818761
0.00016860699391701625	715.8501441501297
0.00016915150472635599	718.0817481528276
0.00016969777401566505	720.3202893741814
0.00017024580746389736	722.5657891627344
0.0001707956107683468	724.8182689315623
0.0001713471896447066	727.0777501584732
0.00017190054982712852	729.3442543861607
0.0001724556970682826	731.6178032224379
0.00017301263713941705	733.8984183404059
0.00017357137583041794	736.1861214786452
0.00017413191894986973	738.480934441412
0.0001746942723251155	740.7828790988351
0.00017525844180231752	743.0919773871049
0.00017582443324651805	745.4082513086753
0.00017639225254170032	747.7317229324358
0.00017696190559084973	750.0624143939348
0.0001775333983160151	752.4003478955699
0.00017810673665837038	754.7455457067563
0.00017868192657827632	757.098030164171
0.0001792589740553425	759.4578236718985
0.00017983788508848936	761.824948701672
0.00018041866569601075	764.1994277930537
0.00018100132191563642	766.5812835536276
0.00018158585980459463	768.9705386592045
0.00018217228543967545	771.3672158540323
0.00018276060491729363	773.7713379509905
0.00018335082435355212	776.1829278317769
0.0001839429498843056	778.6020084471303
0.00018453698766522433	781.0286028170294
0.00018513294387185813	783.4627340322905
0.00018573082469970046	785.9044252618089
0.0001863306363642531	788.3536997475707
0.00018693238510109034	790.8105808017741
0.0001875360771659243	793.2750918070436
0.00018814171883466948	795.7472562166182
0.00018874931640350853	798.2270975545957
0.00018935887618895718	800.7146394160914
0.00018997040452793025	803.2099054674912
0.00019058390777780738	805.7129194466335
0.00019119939231649916	808.2237051630398
0.00019181686454251351	810.7422864981054
0.00019243633087502203	813.2686874053163
0.0001930577977539268	815.8029319104837
0.00019368127163992753	818.3450441119124
0.00019430675901458834	820.8950481806654
0.00019493426638040551	823.4529683607252
0.00019556380026087482	826.0188289692584
0.0001961953672005595	828.5926543967956
0.00019682897376515826	831.1744691074632
0.0001974646265415735	833.7642976391837
0.00019810233213797982	836.3621646039093
0.00019874209718389262	838.9680946878476
0.00019938392833023728	841.5821126516399
0.00020002783224941793	844.2042433306285
0.0002006738156353872	846.8345116350387
