ombh2=0.022 (fiducial)
# Corfunc6		 #r_Array
-2.548644865454093673e-04 1.641365461847389611e+02
-2.495139490196182424e-04 1.648995983935743084e+02
-2.453903594290823159e-04 1.656626506024096557e+02
-2.436671393856089949e-04 1.664257028112450030e+02
-2.428321245942545459e-04 1.671887550200803219e+02
-2.404283790841201559e-04 1.679518072289156692e+02
-2.358322183965653465e-04 1.687148594377510165e+02
-2.309101604273054156e-04 1.694779116465863638e+02
-2.278996442540884943e-04 1.702409638554217111e+02
-2.268858120780380279e-04 1.710040160642570299e+02
-2.257616293220925346e-04 1.717670682730923772e+02
-2.226157870292807856e-04 1.725301204819277245e+02
-2.178751619085300640e-04 1.732931726907630718e+02
-2.137870189281930022e-04 1.740562248995983907e+02
-2.118726503497799906e-04 1.748192771084337380e+02
-2.112379431785933563e-04 1.755823293172690853e+02
-2.096182589137113913e-04 1.763453815261044326e+02
-2.059390207104140505e-04 1.771084337349397799e+02
-2.014998760984645302e-04 1.778714859437750988e+02
-1.984794749080960792e-04 1.786345381526104461e+02
-1.974805673515710647e-04 1.793975903614457934e+02
-1.968809034316668777e-04 1.801606425702811407e+02
-1.946862601656595363e-04 1.809236947791164880e+02
-1.907674534866525789e-04 1.816867469879518069e+02
-1.869703544115059823e-04 1.824497991967871542e+02
-1.850109908462007344e-04 1.832128514056225015e+02
-1.845505164559738392e-04 1.839759036144578488e+02
-1.836043713889156325e-04 1.847389558232931961e+02
-1.807908459240833131e-04 1.855020080321285150e+02
-1.768578779585565136e-04 1.862650602409638623e+02
-1.738176343236703513e-04 1.870281124497992096e+02
-1.726598881524656634e-04 1.877911646586345569e+02
-1.722740403987142515e-04 1.885542168674699042e+02
-1.707056391614026236e-04 1.893172690763052231e+02
-1.673910378998542589e-04 1.900803212851405704e+02
-1.637466294026100957e-04 1.908433734939759177e+02
-1.615655724539052853e-04 1.916064257028112650e+02
-1.610030107395776875e-04 1.923694779116466123e+02
-1.604308833075059493e-04 1.931325301204819311e+02
-1.582952534989523811e-04 1.938955823293172784e+02
-1.548578886852902583e-04 1.946586345381526257e+02
-1.518772624830924136e-04 1.954216867469879730e+02
-1.506165838946217899e-04 1.961847389558232919e+02
-1.504360548146559552e-04 1.969477911646586392e+02
-1.495412043335625453e-04 1.977108433734939865e+02
-1.470116489619111521e-04 1.984738955823293338e+02
-1.438216506017803804e-04 1.992369477911646811e+02
-1.417121549005899688e-04 2.000000000000000000e+02
