r12 	 r13 	 zeta_l(r12,r23) 
42.5	77.5	5.054932231154968e-05
42.5	82.5	4.2485382416332945e-05
42.5	87.5	5.534076045503158e-05
42.5	92.5	7.542157556528548e-05
42.5	97.5	6.53749138939695e-05
42.5	102.5	3.445562137187458e-05
42.5	107.5	1.2018872994820401e-05
42.5	112.5	1.7833897108803835e-06
42.5	117.5	-2.7684430372275433e-06
42.5	122.5	-5.227204277773085e-06
42.5	127.5	-6.261847692392929e-06
42.5	132.5	-4.8003397888486986e-06
42.5	137.5	-9.085171022888427e-07
42.5	142.5	1.967980945885785e-06
42.5	147.5	1.6256796502742388e-06
42.5	152.5	-5.056999054490448e-07
42.5	157.5	-2.632353777365191e-06
47.5	47.5	-0.0002676166533436767
47.5	52.5	-5.728077725624238e-05
47.5	57.5	2.50028312059732e-05
47.5	62.5	4.6459639347386194e-05
47.5	67.5	4.569649012034726e-05
47.5	72.5	3.8406508112238575e-05
47.5	77.5	3.092844269924879e-05
47.5	82.5	3.06947852993552e-05
47.5	87.5	4.675142140526039e-05
47.5	92.5	6.562483717512025e-05
47.5	97.5	5.3590101810331555e-05
47.5	102.5	2.3940628401377437e-05
47.5	107.5	5.4022914094676854e-06
47.5	112.5	-7.769204687228713e-07
47.5	117.5	-2.3131925163470058e-06
47.5	122.5	-2.9624226686281904e-06
47.5	127.5	-3.62063915197285e-06
47.5	132.5	-3.847186397035677e-06
47.5	137.5	-2.5171969353492133e-06
47.5	142.5	4.977950265554769e-07
47.5	147.5	2.6877292219948526e-06
47.5	152.5	2.4433530861441977e-06
47.5	157.5	8.24014684460974e-07
52.5	52.5	-0.00024143658683940952
52.5	57.5	-9.29891103159915e-05
52.5	62.5	-2.4428363070716484e-05
52.5	67.5	3.0519786141675815e-06
52.5	72.5	1.2712692242702301e-05
52.5	77.5	1.5509145386742037e-05
52.5	82.5	2.1280138458701474e-05
52.5	87.5	3.978700390628595e-05
52.5	92.5	5.81144106493527e-05
52.5	97.5	4.515919416720703e-05
52.5	102.5	1.664721800145792e-05
52.5	107.5	7.946521633818858e-07
52.5	112.5	-2.6841969159365097e-06
52.5	117.5	-2.2091398978495045e-06
52.5	122.5	-1.5547521748963147e-06
52.5	127.5	-1.500189168142014e-06
52.5	132.5	-1.8099793709870765e-06
52.5	137.5	-1.9407448394062353e-06
52.5	142.5	-9.503066319265513e-07
52.5	147.5	1.2898587561651888e-06
52.5	152.5	2.924740984287344e-06
52.5	157.5	2.718765280687443e-06
57.5	57.5	-0.00022080601032356854
57.5	62.5	-9.989460691130155e-05
57.5	67.5	-3.927451721837055e-05
57.5	72.5	-1.1863153192833742e-05
57.5	77.5	9.206684692234636e-07
57.5	82.5	1.228211606551489e-05
57.5	87.5	3.317858641183767e-05
57.5	92.5	5.165424497769866e-05
57.5	97.5	3.867237998994265e-05
57.5	102.5	1.1333475746540082e-05
57.5	107.5	-2.5629607586089354e-06
57.5	112.5	-4.179040275741399e-06
57.5	117.5	-2.33282693346437e-06
